Afghanistan,492.1,151,28.8,22.4,16.5,30.7,93.6,1.7,36.9,2.9
Albania,62.1,22.5,3.7,5.7,2.9,3.4,9.7,0.4,4,0.3
Algeria,795.8,276,51.1,54.3,12.7,71,143.5,5.9,47.7,3.2
Angola,389.4,136.6,20.1,21.6,34.5,23.6,52.3,2.6,29.1,1.9
Antigua and Barbuda,2.4,0.7,0.1,0.2,0.4,0.1,0.5,0.01,0.1,0.01
Argentina,1025.1,320,60,79.5,84.9,73.5,223.3,10.2,57.2,4.2
Armenia,63.5,23.5,3.9,5.4,4.5,3.4,8.9,0.3,4.1,0.2
Australia,735.7,216.8,40.6,60.3,45.4,138.1,131.1,9.6,31.5,3
Austria,227.6,68.8,14,16.1,28.1,26.5,36,4.9,10.3,0.7
Azerbaijan,203.3,69.6,12.1,16.6,18.7,15.2,27.8,1.4,12.9,0.7
Bahamas,9.5,3.1,0.5,0.7,1.1,0.5,1.9,0.1,0.5,0.1
Bahrain,32.4,10.7,2,2.6,1.1,3.8,4.8,0.4,1.9,0.1
Bangladesh,2967.8,1025.2,174.4,218.6,115.6,151.6,595.1,14.8,213.3,8.9
Barbados,6.9,2.5,0.4,0.6,0.6,0.2,1.5,0.1,0.4,0.01
Belarus,354.2,86.1,12.5,19.3,81.9,87,26.3,1.4,12.3,0.5
Belgium,267.8,82.1,17.5,21.1,29.4,25.2,44.1,5,13.3,0.9
Belize,7.3,2.3,0.4,0.5,0.8,0.3,1.6,0.1,0.4,0.1
Benin,179.6,64.2,9.8,10.5,11.7,15.1,23.2,0.8,13.1,0.9
Bhutan,15.1,4.8,0.9,1.1,0.8,1.5,2.3,0.1,1,0.01
Bolivia,240,74,13.2,12.9,28.2,19,47.5,1.9,13.4,1.1
Bosnia and Herz.,92.8,32.4,5.2,8.5,11.6,4.6,13,0.5,5.1,0.3
Botswana,45.1,16.2,2.5,3,3.8,3.5,5.7,0.5,2.9,0.2
Brazil,6088.7,2103.6,304.5,345.6,555,249.8,1624.1,50.1,279.3,15.9
Brunei Darussalam,7.7,2.4,0.5,0.9,0.2,0.3,1.2,0.4,0.6,0.01
Bulgaria,168.7,63.5,8.9,16.2,12,9.9,25.9,1,9.7,0.5
Burkina Faso,284.8,99.7,15.6,15.6,21.2,21.5,37.4,1.2,21.5,1.5
Burundi,179.9,71.6,9.8,9.3,15.8,3.3,25.8,0.6,13.1,0.9
Cambodia,270.6,77.1,17.2,25,27.2,12.6,41.2,1.5,19.4,1.1
Cameroon,420.9,140.2,21.2,22,32.6,56.8,50,2.2,28.5,1.9
Canada,921.6,245,55.4,76.4,82,171.6,138.4,13.3,46.1,3
Central African Rep.,86.3,32.3,4.7,4.6,7.8,4,11.8,0.3,6.1,0.4
Chad,216.3,72.7,11.2,11.2,17.2,20.3,27.6,1,16.3,1.1
