Gabon,GAB,23.8,9,1.3,1.5,1.7,1.2,3.2,0.2,1.7,0.1
Gambia,GMB,23.6,8.7,1.2,1.3,1.6,2.2,2.9,0.1,1.7,0.1
Georgia,GEO,101.9,37.7,6,8.8,7.3,6.4,14.6,0.4,6.4,0.4
Germany,DEU,2351.2,657.6,125.2,148.2,421.4,187.2,436.2,57.2,100.9,6.6
Ghana,GHA,366.2,132.1,20.1,21.8,24.1,31.6,46.8,1.9,26.3,1.8
Greece,GRC,278.3,104.1,18.6,20.4,10.5,29.7,47.4,3.5,13.7,1
Grenada,GRD,2.4,0.7,0.1,0.1,0.3,0.1,0.5,0,0.1,0
Guatemala,GTM,318.6,67.4,14.8,12.4,84.4,47.5,40.6,1.7,15.1,1.2
Guinea,GIN,161.4,59.2,8.8,9.5,10.9,11.3,21,0.6,12,0.8
Guinea-Bissau,GNB,24.6,8.9,1.3,1.4,1.9,1.7,3.2,0.1,1.8,0.1
Guyana,GUY,17.2,5.3,1,1,2.3,1,3.5,0.2,1,0.1
Haiti,HTI,182.6,57.2,10.4,9,26.3,5.7,38.8,0.7,11.4,1.5
Honduras,HND,115.3,36.8,8.1,6.8,9.1,5.1,21.7,0.7,8.2,0.7
Hungary,HUN,257.9,84.2,13.3,21.3,45.4,11.7,34.7,1.9,13.5,0.9
Iceland,ISL,6.4,1.8,0.4,0.5,0.5,0.8,1.2,0.1,0.3,0
India,IND,20906.6,7411.4,1123.4,1525,1211.2,1434.3,2553.8,136.3,1537.7,66.5
Indonesia,IDN,3788.2,1203.2,263.2,420.2,139,134.4,611.2,32.1,288.3,15.7
Iran,IRN,1624.8,462.2,84.7,84.2,21.4,326,258.3,11.1,88,13.2
Iraq,IRQ,483.9,143.2,24.8,23.6,9.4,62.7,90.2,3,30.7,2.1
Ireland,IRL,101.2,29.9,5.6,6.4,8.7,12.6,20.7,2.3,4.8,0.4
Israel,ISR,119,46.5,8.3,9.6,5.6,8.5,13.8,1.7,7.6,0.6
Italy,ITA,1321.4,473.7,85.7,87.4,37.4,133.2,246.3,32.5,69.7,5
Jamaica,JAM,57.5,20.1,3.6,4.3,3.4,2.2,12.7,0.6,3.5,0.4
Japan,JPN,2420.2,821.4,164.4,360.2,76.7,92.9,336.5,56.8,173.8,8.7
Jordan,JOR,95.6,30.3,5.9,5.4,1.7,9.4,17.3,0.7,6.5,0.5
Kazakhstan,KAZ,356,108.7,18.2,26.2,51.7,36.4,44.8,2,20.6,1.3
Kenya,KEN,570.7,235.4,31.8,31.5,34.8,7,84.9,2.6,44.9,3.1
Kiribati,KIR,1.4,0.4,0.1,0.1,0.1,0.1,0.2,0,0.1,0
Kuwait,KWT,44.5,15.3,2.9,3.5,0.7,3.9,7.3,0.6,2.8,0.2
Kyrgyzstan,KGZ,122.7,32.7,5.7,8.9,21.8,16.3,14.1,0.4,6.9,0.5
Lao PDR,LAO,93.1,24.7,5.5,7.5,11.6,4.2,13.9,0.5,7.2,0.4
Latvia,LVA,73.9,17.9,3,4.8,22.1,8.9,6.7,0.3,3.1,0.1
Lebanon,LBN,71,23.6,4.6,4.7,1.2,5.5,14.9,0.5,4.2,0.3
Lesotho,LSO,38.5,14.8,1.9,2,2.7,3,4.9,0.2,2.5,0.2
Liberia,LBR,50.1,17.3,2.9,2.9,3.2,3.5,6.9,0.2,3.9,0.3
Libya,LBY,115.3,38.2,7.2,7.3,2.6,9.6,20.8,1.2,7.3,0.6
Lithuania,LTU,113.5,30.2,4.4,7,34.7,12.1,9.6,0.5,4.6,0.2
Luxembourg,LUX,12,3.5,0.7,0.8,1.5,1.7,1.8,0.2,0.5,0
Madagascar,MDG,281.4,119,15.7,16.4,14.8,4.5,41.8,1.1,21.5,1.4
Malawi,MWI,195.2,80.2,10.7,10,11.9,2.8,29.4,0.6,15.3,1
Malaysia,MYS,479.3,130.3,28.5,48.7,28.1,34.7,97.5,5.2,32,1.7
Maldives,MDV,5.9,1.4,0.3,0.5,1,0.6,0.8,0,0.4,0
Mali,MLI,193.1,70.8,10.7,10.6,12.1,11.8,25.9,0.8,15.1,1
Malta,MLT,9,3,0.6,0.7,0.4,0.9,1.7,0.2,0.5,0
Mauritania,MRT,49.9,18.7,2.8,3.1,2.4,3.7,6.6,0.3,3.7,0.3
Mauritius,MUS,24.8,7.5,1.6,2.9,2.9,0.9,3.5,0.2,1.6,0.1
Mexico,MEX,2082.8,615.6,143.7,147.6,280.1,121.3,290.4,24.8,143.5,8.8
